bounds -> (1, 50)
moves per side -> 50
id       wins    loses   alpha   weights
1        94      5       2       {'n': 5, 'b': 11, 'r': 25, 'q': 45}
2        93      6       3       {'n': 20, 'b': 40, 'r': 42, 'q': 32}
3        92      7       31      {'n': 46, 'b': 2, 'r': 2, 'q': 19}
4        91      8       41      {'n': 23, 'b': 49, 'r': 10, 'q': 5}
5        89      10      42      {'n': 37, 'b': 14, 'r': 17, 'q': 40}
6        89      10      9       {'n': 21, 'b': 32, 'r': 40, 'q': 1}
7        87      12      33      {'n': 36, 'b': 5, 'r': 47, 'q': 16}
8        85      14      1       {'n': 23, 'b': 33, 'r': 41, 'q': 49}
9        84      15      37      {'n': 10, 'b': 28, 'r': 16, 'q': 26}
10       83      16      37      {'n': 16, 'b': 1, 'r': 34, 'q': 34}
11       79      20      34      {'n': 33, 'b': 50, 'r': 23, 'q': 22}
12       78      21      26      {'n': 48, 'b': 32, 'r': 3, 'q': 31}
13       78      21      35      {'n': 28, 'b': 1, 'r': 25, 'q': 29}
14       77      22      22      {'n': 9, 'b': 33, 'r': 43, 'q': 31}
15       77      22      45      {'n': 13, 'b': 18, 'r': 25, 'q': 45}
16       77      22      2       {'n': 35, 'b': 13, 'r': 2, 'q': 13}
17       76      23      40      {'n': 46, 'b': 16, 'r': 31, 'q': 5}
18       74      25      8       {'n': 17, 'b': 5, 'r': 26, 'q': 25}
19       74      25      18      {'n': 5, 'b': 12, 'r': 17, 'q': 1}
20       74      25      35      {'n': 26, 'b': 19, 'r': 13, 'q': 5}
21       73      26      45      {'n': 44, 'b': 46, 'r': 42, 'q': 9}
22       73      26      24      {'n': 15, 'b': 31, 'r': 29, 'q': 11}
23       73      26      13      {'n': 24, 'b': 10, 'r': 40, 'q': 9}
24       72      27      1       {'n': 41, 'b': 21, 'r': 23, 'q': 7}
25       72      27      29      {'n': 12, 'b': 31, 'r': 40, 'q': 28}
26       70      29      35      {'n': 17, 'b': 38, 'r': 21, 'q': 11}
27       70      29      27      {'n': 10, 'b': 43, 'r': 34, 'q': 38}
28       70      29      38      {'n': 13, 'b': 21, 'r': 35, 'q': 22}
29       70      29      24      {'n': 12, 'b': 14, 'r': 1, 'q': 1}
30       68      31      12      {'n': 33, 'b': 33, 'r': 27, 'q': 37}
31       68      31      17      {'n': 13, 'b': 17, 'r': 27, 'q': 16}
32       67      32      46      {'n': 34, 'b': 23, 'r': 38, 'q': 23}
33       67      32      35      {'n': 47, 'b': 24, 'r': 6, 'q': 9}
34       65      34      47      {'n': 37, 'b': 5, 'r': 22, 'q': 19}
35       64      35      19      {'n': 32, 'b': 31, 'r': 2, 'q': 35}
36       62      37      26      {'n': 48, 'b': 42, 'r': 40, 'q': 7}
37       61      38      31      {'n': 23, 'b': 24, 'r': 2, 'q': 37}
38       61      38      26      {'n': 34, 'b': 45, 'r': 6, 'q': 16}
39       60      39      18      {'n': 23, 'b': 46, 'r': 29, 'q': 7}
40       59      40      37      {'n': 34, 'b': 17, 'r': 32, 'q': 33}
41       57      42      30      {'n': 45, 'b': 32, 'r': 38, 'q': 22}
42       57      42      49      {'n': 19, 'b': 42, 'r': 49, 'q': 9}
43       57      42      42      {'n': 16, 'b': 41, 'r': 2, 'q': 6}
44       57      42      44      {'n': 40, 'b': 18, 'r': 28, 'q': 39}
45       56      43      43      {'n': 18, 'b': 34, 'r': 50, 'q': 11}
46       55      44      19      {'n': 36, 'b': 35, 'r': 12, 'q': 12}
47       55      44      50      {'n': 47, 'b': 15, 'r': 34, 'q': 2}
48       55      44      43      {'n': 23, 'b': 4, 'r': 39, 'q': 43}
49       51      48      2       {'n': 12, 'b': 44, 'r': 18, 'q': 6}
50       50      49      16      {'n': 1, 'b': 33, 'r': 40, 'q': 40}
51       49      50      16      {'n': 22, 'b': 19, 'r': 46, 'q': 24}
52       48      51      12      {'n': 35, 'b': 50, 'r': 43, 'q': 34}
53       47      52      44      {'n': 18, 'b': 43, 'r': 27, 'q': 30}
54       47      52      28      {'n': 2, 'b': 20, 'r': 41, 'q': 49}
55       45      54      29      {'n': 46, 'b': 46, 'r': 27, 'q': 47}
56       45      54      13      {'n': 11, 'b': 4, 'r': 44, 'q': 43}
57       45      54      47      {'n': 9, 'b': 16, 'r': 31, 'q': 39}
58       44      55      47      {'n': 13, 'b': 35, 'r': 1, 'q': 48}
59       44      55      36      {'n': 30, 'b': 4, 'r': 50, 'q': 10}
60       43      56      18      {'n': 31, 'b': 19, 'r': 48, 'q': 8}
61       43      56      49      {'n': 20, 'b': 39, 'r': 41, 'q': 14}
62       42      57      31      {'n': 30, 'b': 33, 'r': 21, 'q': 24}
63       41      58      50      {'n': 39, 'b': 14, 'r': 25, 'q': 20}
64       39      60      3       {'n': 29, 'b': 31, 'r': 8, 'q': 4}
65       38      61      19      {'n': 35, 'b': 20, 'r': 35, 'q': 2}
66       37      62      15      {'n': 10, 'b': 24, 'r': 45, 'q': 43}
67       36      63      20      {'n': 36, 'b': 46, 'r': 22, 'q': 7}
68       36      63      41      {'n': 29, 'b': 41, 'r': 43, 'q': 33}
69       36      63      39      {'n': 35, 'b': 50, 'r': 18, 'q': 29}
70       36      63      7       {'n': 28, 'b': 47, 'r': 33, 'q': 1}
71       34      65      39      {'n': 34, 'b': 48, 'r': 24, 'q': 9}
72       34      65      39      {'n': 32, 'b': 20, 'r': 3, 'q': 45}
73       34      65      50      {'n': 11, 'b': 48, 'r': 22, 'q': 32}
74       30      69      9       {'n': 33, 'b': 12, 'r': 35, 'q': 29}
75       29      70      48      {'n': 37, 'b': 42, 'r': 47, 'q': 5}
76       27      72      8       {'n': 36, 'b': 4, 'r': 34, 'q': 49}
77       26      73      35      {'n': 16, 'b': 40, 'r': 47, 'q': 42}
78       26      73      31      {'n': 32, 'b': 19, 'r': 17, 'q': 26}
79       26      73      8       {'n': 36, 'b': 26, 'r': 38, 'q': 9}
